city,latitude,longitude
חיפה,32.7940463,34.989571
נשר,32.7721793,35.045039
מסריק,32.891218,35.098414
שפר,32.944553,35.437848
טבריה,32.795859,35.530973
כרמיאל,32.9085935,35.2932814
ראמה,32.9374389,35.366515
טמרה,32.8552512,35.1859141
חולון,32.0180655,34.7706369
בת ים,32.0151439,34.752885
"ראשל""צ",31.95908129999999,34.8020886
רמת גן,32.068424,34.824785
קרית אונו,32.054863,34.85885800000001
תל אביב,32.0852999,34.78176759999999
אשקלון,31.6687885,34.5742523
עומר,31.264479,34.8505942
קרית גת,31.6104718,34.7722948
גלאון,31.63337099999999,34.848898
גן יבנה,31.7836028,34.703177
כפר יונה,32.3176357,34.9330201
רעננה,32.1923797,34.8745337
נתניה,32.321458,34.853196
אלקנה,31.046051,34.851612
פורת,32.277081,34.948816
כ.קאסם,32.1173916,34.968918
פתח תקווה,32.084041,34.887762
שגב,32.865802,35.252335
עידן,30.806291,35.299946
חסן,31.046051,34.851612
בני ברק,32.084932,34.835226
גבעתיים,32.075318,34.8086113
אזור,32.0245041,34.8058575
חדרה,32.4340458,34.9196518
אלוני אבא,32.730945,35.172028
ד.אל-כרמל,32.6934814,35.0470183
קרית ביאליק,32.8408396,35.0916456
קרית אתא,32.809144,35.119773
חריש,32.4606442,35.0478887
ברעטה,32.475484,35.091973
אום אל-פחם,32.517127,35.148529
עפולה,32.610493,35.287922
נצרת,32.699635,35.303546
ריינה,32.722061,35.3155447
סחנין,32.8621403,35.2996234
טירה,32.2352263,34.9518076
הוד השרון,32.149961,34.8838788
חופית,32.386082,34.874078
הרצליה,32.162413,34.844675
מקסים,31.046051,34.851612
לני,32.1617451,34.9102607
יפו,32.0852999,34.78176759999999
שילת,31.921173,35.014572
ירושלים,31.768319,35.21371
בית שמש,31.747041,34.988099
נווה אילן,31.807585,35.080922
מודיעין,31.890267,35.010397
מבשרת ציון,31.80495489999999,35.151392
נס ציונה,31.932111,34.801327
קדרון,31.8192978,34.7978926
ניצנים,31.717845,34.634636
תלמי יחיאל,31.753621,34.764308
לוד,31.951014,34.888075
גן הדרום,31.804056,34.69987
בית אלעזרי,31.8456267,34.8005109
אשדוד,31.804381,34.655314
תל מונד,32.2567936,34.9205712
רמת השרון,32.137793,34.840278
כפר סבא,32.178195,34.90761
יעקב,31.046051,34.851612
אולג,31.046051,34.851612
אלי מלך,31.9834638,34.8081479
נהריה,33.0085361,35.0980514
מצפה נטופה,32.801748,35.383501
פוריה עילית,32.732736,35.546162
גבעת אבני,32.775382,35.436154
אור עקיבא,32.5103476,34.919546
קרית חיים,32.8340986,35.0667691
קרית מוצקין,32.8390366,35.0821062
קרית עקרון,31.862547,34.8219576
ברנר,31.8602669,34.7851264
באר שבע,31.2521018,34.7867691
רחובות,31.8943652,34.8115292
רמלה,31.931566,34.872938
אלפי מנשה,32.170631,35.014858
סלעית,32.242589,35.051258
אבן יהודה,32.2700426,34.8809634
רמת פולג,32.269609,34.841774
ניר לבנים,31.671177,34.755012
צורן,32.2779191,34.9112736
נווה ימין,32.171692,34.939378
חגור,32.138591,34.947614
אמיר,33.17772610000001,35.6198305
דניאל,31.046051,34.851612
אבי,32.0852999,34.78176759999999
פיראס,31.046051,34.851612
עדי,32.782353,35.173412
גובל,31.046051,34.851612
קיסריה,32.5154686,34.9062798
בנימינה,32.517078,34.955096
פרדס חנה,32.4728028,34.9742001
יוקנעם עלית,32.660225,35.104606
בת שלמה,32.600335,35.003837
אלעד,32.04953,34.95075
א.אל-פאחם,32.517127,35.148529
רמת ישי,32.704029,35.166003
מנחם,31.7664783,35.0035723
אמג'ת,31.046051,34.851612
חיים,31.046051,34.851612
חדיד,31.969429,34.932156
לוזית,31.688209,34.888222
יבנה,31.87535339999999,34.7350096
בית חנינא,31.830131,35.225205
צור הדסה,31.719374,35.096958
כפר אוריה,31.793399,34.944757
מודיעין עלית,31.932477,35.042265
קרית מלאכי,31.7302546,34.7466157
גדרה,31.8120082,34.7774347
טייבה,32.2668407,35.0096545
אולי,31.046051,34.851612
יבגני,31.046051,34.851612
ירכא,32.953492,35.21199
שבות רחל,32.054539,35.310703
זכרון יעקב,32.5739532,34.9520929
גבעת אלה,32.722007,35.244822
טירת הכרמל,32.762127,34.97298
ד.אל כרמל,32.6934814,35.0470183
צור יגאל,32.223754,34.999074
מושב מאור,32.425832,35.005289
הדר עם,32.349653,34.898945
רועי,31.046051,34.851612
ג'רי,31.046051,34.851612
רינתיה,32.044365,34.928477
שוהם,31.9940912,34.9463162
אורה,31.752109,35.150165
לפיד,31.917522,35.032191
ראש העין,32.095838,34.952177
משמר דוד,31.82355799999999,34.900676
קדימה,32.2779191,34.9112736
מיכאל,31.046051,34.851612
אפי,31.046051,34.851612
באר יעקב,31.943507,34.83904
גני תקווה,32.060497,34.873121
טורעאן,32.776688,35.3746247
ניר גלים,31.82552,34.68254
סתריה,31.889854,34.842094
נתיבות,31.423132,34.5946466
אורנית,32.131924,34.99081
גן חיים,32.195761,34.906957
סשה,31.046051,34.851612
תל השומר,32.042658,34.855893
שפרעם,32.8035805,35.1732997
הרדוף,32.763717,35.174663
רומן,31.046051,34.851612
אבו גוש,31.806293,35.109193
מעלה אדומים,31.777369,35.297955
בני עטרות,32.02147,34.910146
שער הנגב,31.50772569999999,34.6303372
עולש,32.331969,34.98532100000001
כפר שמריהו,32.187123,34.823124
גלילות,32.138866,34.817585
ארז,31.55984,34.564889
אור יהודה,32.029748,34.85617300000001
בילו,31.870475,34.826734
כרכור,32.4728028,34.9742001
גבעת עוז,32.555934,35.198004
אלונים,32.721459,35.143399
עוספיא,32.720737,35.059087
ודים,31.046051,34.851612
בית חורון,31.87989,35.124097
ביתר עלית,31.046051,34.851612
כוכב יאיר,32.223754,34.999074
מזכרת בתיה,31.850638,34.840016
גני טל,31.788573,34.791392
